JobID|JobName|State|ExitCode|Submit|Start|End|Elapsed|AllocCPUS|NNodes|NodeList|TotalCPU|CPUTime|MaxRSS
70217_48.extern|extern|COMPLETED|0:0|2026-07-19T19:38:26|2026-07-19T19:38:26|2026-07-19T19:38:58|00:00:32|28|1|sn098|00:00.001|00:14:56|0.00G
70217_49|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:38:26|2026-07-19T19:39:00|00:00:34|28|1|sn042|00:35.789|00:15:52|
70217_49.batch|batch|COMPLETED|0:0|2026-07-19T19:38:26|2026-07-19T19:38:26|2026-07-19T19:39:00|00:00:34|28|1|sn042|00:35.787|00:15:52|0.46G
70217_49.extern|extern|COMPLETED|0:0|2026-07-19T19:38:26|2026-07-19T19:38:26|2026-07-19T19:39:00|00:00:34|28|1|sn042|00:00.001|00:15:52|0.00G
70217_50|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:38:26|2026-07-19T19:38:59|00:00:33|28|1|sn025|00:35.152|00:15:24|
70217_50.batch|batch|COMPLETED|0:0|2026-07-19T19:38:26|2026-07-19T19:38:26|2026-07-19T19:38:59|00:00:33|28|1|sn025|00:35.150|00:15:24|0.46G
70217_50.extern|extern|COMPLETED|0:0|2026-07-19T19:38:26|2026-07-19T19:38:26|2026-07-19T19:38:59|00:00:33|28|1|sn025|00:00.002|00:15:24|0.00G
70217_51|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:38:26|2026-07-19T19:38:58|00:00:32|28|1|sn140|00:34.466|00:14:56|
70217_51.batch|batch|COMPLETED|0:0|2026-07-19T19:38:26|2026-07-19T19:38:26|2026-07-19T19:38:58|00:00:32|28|1|sn140|00:34.464|00:14:56|0.46G
70217_51.extern|extern|COMPLETED|0:0|2026-07-19T19:38:26|2026-07-19T19:38:26|2026-07-19T19:38:58|00:00:32|28|1|sn140|00:00.001|00:14:56|0.00G
70217_52|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:38:26|2026-07-19T19:38:59|00:00:33|28|1|sn044|00:34.598|00:15:24|
70217_52.batch|batch|COMPLETED|0:0|2026-07-19T19:38:26|2026-07-19T19:38:26|2026-07-19T19:38:59|00:00:33|28|1|sn044|00:34.596|00:15:24|0.49G
70217_52.extern|extern|COMPLETED|0:0|2026-07-19T19:38:26|2026-07-19T19:38:26|2026-07-19T19:38:59|00:00:33|28|1|sn044|00:00.001|00:15:24|0.00G
70217_53|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:38:26|2026-07-19T19:39:00|00:00:34|28|1|sn096|00:00:36|00:15:52|
70217_53.batch|batch|COMPLETED|0:0|2026-07-19T19:38:26|2026-07-19T19:38:26|2026-07-19T19:39:00|00:00:34|28|1|sn096|00:35.998|00:15:52|0.48G
70217_53.extern|extern|COMPLETED|0:0|2026-07-19T19:38:26|2026-07-19T19:38:26|2026-07-19T19:39:00|00:00:34|28|1|sn096|00:00.001|00:15:52|0.00G
70217_54|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:38:26|2026-07-19T19:39:01|00:00:35|28|1|sn139|00:36.332|00:16:20|
70217_54.batch|batch|COMPLETED|0:0|2026-07-19T19:38:26|2026-07-19T19:38:26|2026-07-19T19:39:01|00:00:35|28|1|sn139|00:36.331|00:16:20|0.47G
70217_54.extern|extern|COMPLETED|0:0|2026-07-19T19:38:26|2026-07-19T19:38:26|2026-07-19T19:39:01|00:00:35|28|1|sn139|00:00.001|00:16:20|0.00G
70217_55|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:38:27|2026-07-19T19:39:00|00:00:33|28|1|sn099|00:34.929|00:15:24|
70217_55.batch|batch|COMPLETED|0:0|2026-07-19T19:38:27|2026-07-19T19:38:27|2026-07-19T19:39:00|00:00:33|28|1|sn099|00:34.927|00:15:24|0.46G
70217_55.extern|extern|COMPLETED|0:0|2026-07-19T19:38:27|2026-07-19T19:38:27|2026-07-19T19:39:00|00:00:33|28|1|sn099|00:00.001|00:15:24|0.00G
70217_56|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:38:27|2026-07-19T19:38:59|00:00:32|28|1|sn024|00:34.827|00:14:56|
70217_56.batch|batch|COMPLETED|0:0|2026-07-19T19:38:27|2026-07-19T19:38:27|2026-07-19T19:38:59|00:00:32|28|1|sn024|00:34.825|00:14:56|0.47G
70217_56.extern|extern|COMPLETED|0:0|2026-07-19T19:38:27|2026-07-19T19:38:27|2026-07-19T19:38:59|00:00:32|28|1|sn024|00:00.002|00:14:56|0.00G
70217_57|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:38:27|2026-07-19T19:39:00|00:00:33|28|1|sn045|00:34.993|00:15:24|
70217_57.batch|batch|COMPLETED|0:0|2026-07-19T19:38:27|2026-07-19T19:38:27|2026-07-19T19:39:00|00:00:33|28|1|sn045|00:34.991|00:15:24|0.45G
70217_57.extern|extern|COMPLETED|0:0|2026-07-19T19:38:27|2026-07-19T19:38:27|2026-07-19T19:39:01|00:00:34|28|1|sn045|00:00.001|00:15:52|0.00G
70217_58|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:38:27|2026-07-19T19:39:00|00:00:33|28|1|sn104|00:35.716|00:15:24|
70217_58.batch|batch|COMPLETED|0:0|2026-07-19T19:38:27|2026-07-19T19:38:27|2026-07-19T19:39:00|00:00:33|28|1|sn104|00:35.714|00:15:24|0.46G
70217_58.extern|extern|COMPLETED|0:0|2026-07-19T19:38:27|2026-07-19T19:38:27|2026-07-19T19:39:00|00:00:33|28|1|sn104|00:00.001|00:15:24|0.00G
70217_59|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:38:27|2026-07-19T19:39:00|00:00:33|28|1|sn074|00:35.668|00:15:24|
70217_59.batch|batch|COMPLETED|0:0|2026-07-19T19:38:27|2026-07-19T19:38:27|2026-07-19T19:39:00|00:00:33|28|1|sn074|00:35.666|00:15:24|0.46G
70217_59.extern|extern|COMPLETED|0:0|2026-07-19T19:38:27|2026-07-19T19:38:27|2026-07-19T19:39:00|00:00:33|28|1|sn074|00:00.002|00:15:24|0.00G
