plan_id,dem_seats,rep_seats,dem_seat_share
181,6,8,0.42857142857142855
182,6,8,0.42857142857142855
183,6,8,0.42857142857142855
184,6,8,0.42857142857142855
185,6,8,0.42857142857142855
186,6,8,0.42857142857142855
187,6,8,0.42857142857142855
188,6,8,0.42857142857142855
189,6,8,0.42857142857142855
190,6,8,0.42857142857142855
191,6,8,0.42857142857142855
192,6,8,0.42857142857142855
193,6,8,0.42857142857142855
194,6,8,0.42857142857142855
195,6,8,0.42857142857142855
196,6,8,0.42857142857142855
197,6,8,0.42857142857142855
198,5,9,0.35714285714285715
199,5,9,0.35714285714285715
200,6,8,0.42857142857142855
201,6,8,0.42857142857142855
202,6,8,0.42857142857142855
203,6,8,0.42857142857142855
204,6,8,0.42857142857142855
205,6,8,0.42857142857142855
206,6,8,0.42857142857142855
207,6,8,0.42857142857142855
208,6,8,0.42857142857142855
209,6,8,0.42857142857142855
210,6,8,0.42857142857142855
211,6,8,0.42857142857142855
212,6,8,0.42857142857142855
213,6,8,0.42857142857142855
214,6,8,0.42857142857142855
215,6,8,0.42857142857142855
216,6,8,0.42857142857142855
217,6,8,0.42857142857142855
218,6,8,0.42857142857142855
219,6,8,0.42857142857142855
220,6,8,0.42857142857142855
221,6,8,0.42857142857142855
222,6,8,0.42857142857142855
223,6,8,0.42857142857142855
224,6,8,0.42857142857142855
225,6,8,0.42857142857142855
226,6,8,0.42857142857142855
227,6,8,0.42857142857142855
228,6,8,0.42857142857142855
229,6,8,0.42857142857142855
230,6,8,0.42857142857142855
231,6,8,0.42857142857142855
232,6,8,0.42857142857142855
233,6,8,0.42857142857142855
234,6,8,0.42857142857142855
235,6,8,0.42857142857142855
236,6,8,0.42857142857142855
237,6,8,0.42857142857142855
238,6,8,0.42857142857142855
239,6,8,0.42857142857142855
240,6,8,0.42857142857142855
241,6,8,0.42857142857142855
242,6,8,0.42857142857142855
243,6,8,0.42857142857142855
244,6,8,0.42857142857142855
245,6,8,0.42857142857142855
246,6,8,0.42857142857142855
247,6,8,0.42857142857142855
248,6,8,0.42857142857142855
249,6,8,0.42857142857142855
250,6,8,0.42857142857142855
251,6,8,0.42857142857142855
252,6,8,0.42857142857142855
253,6,8,0.42857142857142855
254,6,8,0.42857142857142855
255,5,9,0.35714285714285715
256,5,9,0.35714285714285715
257,5,9,0.35714285714285715
258,5,9,0.35714285714285715
259,5,9,0.35714285714285715
260,5,9,0.35714285714285715
261,5,9,0.35714285714285715
262,5,9,0.35714285714285715
263,5,9,0.35714285714285715
264,5,9,0.35714285714285715
265,5,9,0.35714285714285715
266,5,9,0.35714285714285715
267,5,9,0.35714285714285715
268,5,9,0.35714285714285715
269,5,9,0.35714285714285715
270,5,9,0.35714285714285715
271,5,9,0.35714285714285715
272,5,9,0.35714285714285715
273,5,9,0.35714285714285715
274,5,9,0.35714285714285715
275,5,9,0.35714285714285715
276,5,9,0.35714285714285715
277,6,8,0.42857142857142855
278,6,8,0.42857142857142855
279,6,8,0.42857142857142855
280,6,8,0.42857142857142855
281,6,8,0.42857142857142855
282,6,8,0.42857142857142855
283,6,8,0.42857142857142855
284,6,8,0.42857142857142855
285,6,8,0.42857142857142855
286,6,8,0.42857142857142855
287,6,8,0.42857142857142855
288,6,8,0.42857142857142855
289,6,8,0.42857142857142855
290,6,8,0.42857142857142855
291,6,8,0.42857142857142855
292,6,8,0.42857142857142855
293,6,8,0.42857142857142855
294,6,8,0.42857142857142855
295,6,8,0.42857142857142855
296,6,8,0.42857142857142855
297,6,8,0.42857142857142855
298,6,8,0.42857142857142855
299,6,8,0.42857142857142855
300,6,8,0.42857142857142855
301,6,8,0.42857142857142855
302,6,8,0.42857142857142855
303,6,8,0.42857142857142855
304,6,8,0.42857142857142855
305,5,9,0.35714285714285715
306,5,9,0.35714285714285715
307,5,9,0.35714285714285715
308,5,9,0.35714285714285715
309,5,9,0.35714285714285715
310,5,9,0.35714285714285715
311,5,9,0.35714285714285715
312,5,9,0.35714285714285715
313,6,8,0.42857142857142855
314,6,8,0.42857142857142855
315,6,8,0.42857142857142855
316,5,9,0.35714285714285715
317,5,9,0.35714285714285715
318,5,9,0.35714285714285715
319,5,9,0.35714285714285715
320,6,8,0.42857142857142855
321,7,7,0.5
322,6,8,0.42857142857142855
323,6,8,0.42857142857142855
324,5,9,0.35714285714285715
325,5,9,0.35714285714285715
326,5,9,0.35714285714285715
327,5,9,0.35714285714285715
328,5,9,0.35714285714285715
329,6,8,0.42857142857142855
330,6,8,0.42857142857142855
331,6,8,0.42857142857142855
332,6,8,0.42857142857142855
333,6,8,0.42857142857142855
334,6,8,0.42857142857142855
335,6,8,0.42857142857142855
336,6,8,0.42857142857142855
337,6,8,0.42857142857142855
338,6,8,0.42857142857142855
339,6,8,0.42857142857142855
340,6,8,0.42857142857142855
341,6,8,0.42857142857142855
342,6,8,0.42857142857142855
343,6,8,0.42857142857142855
344,6,8,0.42857142857142855
345,6,8,0.42857142857142855
346,6,8,0.42857142857142855
347,6,8,0.42857142857142855
348,6,8,0.42857142857142855
349,7,7,0.5
350,7,7,0.5
351,7,7,0.5
352,7,7,0.5
353,7,7,0.5
354,6,8,0.42857142857142855
355,6,8,0.42857142857142855
356,6,8,0.42857142857142855
357,6,8,0.42857142857142855
358,6,8,0.42857142857142855
359,7,7,0.5
360,6,8,0.42857142857142855
361,6,8,0.42857142857142855
362,6,8,0.42857142857142855
363,6,8,0.42857142857142855
364,5,9,0.35714285714285715
365,5,9,0.35714285714285715
366,5,9,0.35714285714285715
367,5,9,0.35714285714285715
368,5,9,0.35714285714285715
369,5,9,0.35714285714285715
370,5,9,0.35714285714285715
371,5,9,0.35714285714285715
372,5,9,0.35714285714285715
373,5,9,0.35714285714285715
374,5,9,0.35714285714285715
375,5,9,0.35714285714285715
376,5,9,0.35714285714285715
377,6,8,0.42857142857142855
378,6,8,0.42857142857142855
379,6,8,0.42857142857142855
380,6,8,0.42857142857142855
381,6,8,0.42857142857142855
382,6,8,0.42857142857142855
383,6,8,0.42857142857142855
384,6,8,0.42857142857142855
385,6,8,0.42857142857142855
386,6,8,0.42857142857142855
387,6,8,0.42857142857142855
388,6,8,0.42857142857142855
389,6,8,0.42857142857142855
390,6,8,0.42857142857142855
391,6,8,0.42857142857142855
392,6,8,0.42857142857142855
393,6,8,0.42857142857142855
394,5,9,0.35714285714285715
395,5,9,0.35714285714285715
396,5,9,0.35714285714285715
397,5,9,0.35714285714285715
398,5,9,0.35714285714285715
399,5,9,0.35714285714285715
400,5,9,0.35714285714285715
401,5,9,0.35714285714285715
402,5,9,0.35714285714285715
403,5,9,0.35714285714285715
404,5,9,0.35714285714285715
405,5,9,0.35714285714285715
406,5,9,0.35714285714285715
407,5,9,0.35714285714285715
408,5,9,0.35714285714285715
409,5,9,0.35714285714285715
410,5,9,0.35714285714285715
411,5,9,0.35714285714285715
412,5,9,0.35714285714285715
413,5,9,0.35714285714285715
414,5,9,0.35714285714285715
415,5,9,0.35714285714285715
416,5,9,0.35714285714285715
417,5,9,0.35714285714285715
418,5,9,0.35714285714285715
419,4,10,0.2857142857142857
420,4,10,0.2857142857142857
421,4,10,0.2857142857142857
422,4,10,0.2857142857142857
423,5,9,0.35714285714285715
424,5,9,0.35714285714285715
425,5,9,0.35714285714285715
426,5,9,0.35714285714285715
427,5,9,0.35714285714285715
428,5,9,0.35714285714285715
429,5,9,0.35714285714285715
430,5,9,0.35714285714285715
431,5,9,0.35714285714285715
432,5,9,0.35714285714285715
433,5,9,0.35714285714285715
434,5,9,0.35714285714285715
435,5,9,0.35714285714285715
436,5,9,0.35714285714285715
437,5,9,0.35714285714285715
438,5,9,0.35714285714285715
439,5,9,0.35714285714285715
440,5,9,0.35714285714285715
441,5,9,0.35714285714285715
442,5,9,0.35714285714285715
443,6,8,0.42857142857142855
444,6,8,0.42857142857142855
445,6,8,0.42857142857142855
446,5,9,0.35714285714285715
447,6,8,0.42857142857142855
448,6,8,0.42857142857142855
449,6,8,0.42857142857142855
450,6,8,0.42857142857142855
451,7,7,0.5
452,7,7,0.5
453,6,8,0.42857142857142855
454,6,8,0.42857142857142855
455,6,8,0.42857142857142855
456,6,8,0.42857142857142855
457,6,8,0.42857142857142855
458,5,9,0.35714285714285715
459,5,9,0.35714285714285715
460,5,9,0.35714285714285715
461,5,9,0.35714285714285715
462,4,10,0.2857142857142857
463,4,10,0.2857142857142857
464,4,10,0.2857142857142857
465,4,10,0.2857142857142857
466,4,10,0.2857142857142857
467,4,10,0.2857142857142857
468,4,10,0.2857142857142857
469,5,9,0.35714285714285715
470,5,9,0.35714285714285715
