plan_id,dem_seats,rep_seats,dem_vote_share,rep_vote_share,dem_seat_share,proportionality_gap
664,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
665,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
666,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
667,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
668,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
669,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
670,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
671,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
672,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
673,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
674,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
675,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
676,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
677,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
678,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
679,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
680,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
681,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
682,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
683,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
684,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
685,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
686,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
687,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
688,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
689,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
690,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
691,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
692,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
693,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
694,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
695,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
696,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
697,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
698,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
699,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
700,5,9,0.4836618513336482,0.5163381486663517,0.35714285714285715,0.12651899419079105
701,5,9,0.4836618513336482,0.5163381486663517,0.35714285714285715,0.12651899419079105
702,5,9,0.4836618513336482,0.5163381486663517,0.35714285714285715,0.12651899419079105
703,5,9,0.4836618513336482,0.5163381486663517,0.35714285714285715,0.12651899419079105
704,5,9,0.4836618513336482,0.5163381486663517,0.35714285714285715,0.12651899419079105
705,5,9,0.4836618513336482,0.5163381486663517,0.35714285714285715,0.12651899419079105
706,5,9,0.4836618513336482,0.5163381486663517,0.35714285714285715,0.12651899419079105
707,5,9,0.4836618513336482,0.5163381486663517,0.35714285714285715,0.12651899419079105
708,5,9,0.4836618513336482,0.5163381486663517,0.35714285714285715,0.12651899419079105
709,5,9,0.4836618513336482,0.5163381486663517,0.35714285714285715,0.12651899419079105
710,5,9,0.4836618513336482,0.5163381486663517,0.35714285714285715,0.12651899419079105
711,5,9,0.4836618513336482,0.5163381486663517,0.35714285714285715,0.12651899419079105
712,5,9,0.4836618513336482,0.5163381486663517,0.35714285714285715,0.12651899419079105
713,5,9,0.4836618513336482,0.5163381486663517,0.35714285714285715,0.12651899419079105
