plan_id,total_dem_seats,total_rep_seats,dem_vote_share,rep_vote_share,seat_share_dem,proportionality_gap
411,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
412,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
413,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
414,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
415,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
416,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
417,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
418,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
419,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
420,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
421,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
422,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
423,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
424,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
425,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
426,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
427,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
428,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
429,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
430,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
431,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
432,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
433,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
434,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
435,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
436,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
437,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
438,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
439,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
440,8,6,0.4836618513336482,0.5163381486663517,0.5714285714285714,0.0877667200949232
441,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
442,8,6,0.4836618513336482,0.5163381486663517,0.5714285714285714,0.0877667200949232
443,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
444,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
445,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
446,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
447,8,6,0.4836618513336482,0.5163381486663517,0.5714285714285714,0.0877667200949232
448,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
449,8,6,0.4836618513336482,0.5163381486663517,0.5714285714285714,0.0877667200949232
450,8,6,0.4836618513336482,0.5163381486663517,0.5714285714285714,0.0877667200949232
451,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
452,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
453,8,6,0.4836618513336482,0.5163381486663517,0.5714285714285714,0.0877667200949232
454,8,6,0.4836618513336482,0.5163381486663517,0.5714285714285714,0.0877667200949232
455,8,6,0.4836618513336482,0.5163381486663517,0.5714285714285714,0.0877667200949232
456,8,6,0.4836618513336482,0.5163381486663517,0.5714285714285714,0.0877667200949232
457,8,6,0.4836618513336482,0.5163381486663517,0.5714285714285714,0.0877667200949232
458,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
459,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
460,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
461,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
462,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
463,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
464,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
465,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
466,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
467,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
468,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
469,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
470,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
471,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
472,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
473,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
474,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
475,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
476,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
477,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
478,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
479,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
480,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
481,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
482,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
483,7,7,0.4836618513336482,0.5163381486663517,0.5,0.016338148666351804
484,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
485,6,8,0.4836618513336482,0.5163381486663517,0.42857142857142855,0.05509042276221965
